username#discrim,current streak,max streak
arjefferson#0,0,0
ultrafermion#0,0,0
nong_umm#0,0,0
pathtocreation#0,0,0
jawwsh#6877,0,0
_hu_man#0,0,6
vishwa1#0,0,0
NaBrO3#5630,0,0
thetjb#0,0,1
Deleted User fc523676#0923,0,2
aayushg#8698,0,27
stellardonkey#0,0,0
leevsoo#0,0,5
mango#2778,0,0
et.11037#0,0,8
ria03#0,0,8
ashes_xd#0,0,1
saum.yay#0,0,0
quagsire1538#0,0,0
nipu d#1641,0,3
ayaya#4917,0,4
poogiz#0,0,9
asun0#0,0,0
goslowpoke#0,0,2
Deleted User 82705c60#6781,0,0
deltacool#0,0,0
redlittlebirdy#0,0,0
EpicGamer101#1359,0,0
fishyishyfishy#0,0,2
AkashB#2247,0,0
christina#3823,0,0
ramennooder#0,0,0
risanamu#0,0,0
ka.vi#0,0,0
robyn.penguin#0,0,0
high_lighter#0,0,1
bobthejack#0,0,0
quakerwithouttheoats#0,0,0
michaelk0#0,0,0
agentdumpling#0,0,0
timetravelingcat#0,0,0
cloroxbleach1782#0,0,4
Komedi#0220,0,0
rico_skeems21#0,0,0
em44n#0,0,0
bkxsun#0,0,29
swabluly#0,0,7
quacklic_reformation#0,0,3
Chat#9199,0,7
Phillip#7938,0,0
worldlyoctopus#0,0,4
dishsoap843#0,0,0
.theorems#0,0,4
AlDas#2376,0,1
liberalismrules#0,0,0
idle704#0,0,0
childreninmyfactory#0,0,12
wonjae9080#0,0,0
gauzy (INACTIVE)#2991,0,0
murimdumplings#0,0,0
sakyuura#0,0,0
techmaster1100#0,0,7
amk578#0,0,0
_konathan#0,0,0
toast.rr#0,0,1
potato_kat#0,0,0
BlackSanta🎅🏿#8960,0,0
fefe9h#0,0,1
poyukoh#0,0,0
danz137#0,0,23
aiyiu#0,0,14
childreninmyoven#0,0,2
bobabirb#2431,0,0
_skd_.#0,0,0
ishanvim#7792,0,0
Ech0#3288,0,2
gracem#4925,0,11
guardianofthetechtips#0,0,0
professormomo13#0,0,15
sociallyawkwardchild.#0,0,17
atropos1789#0,0,3
confusedostrich#0,0,0
rick.xu#0,0,0
yaboikev#0,0,2
maskedwalnut23#2070,0,1
masoooon_#0,0,0
ar492#0,0,0
nmnotfound#0,0,0
poetries#0,0,1
emeraldash.#0,0,1
Orangatang#6349,0,0
engineer42#0,0,0
gidthekid2#0,0,1
CatsFactorial#7880,0,0
ys6810#0,0,5
american woodglock#8685,0,0
lunar9514#0,0,1
Deleted User e011a08f#9191,0,0
sbean#9638,0,4
Deleted User 32324ae4#6928,0,0
Deleted User 51c77e7b#9172,0,6
AgileFlight#7440,0,0
sdd2023#0,0,1
phylloyeet#0,0,2
yangster39#0,0,0
dguo25#0,0,0
.onnion#0,0,12
insanity1098#0,0,3
aboutthat#0,0,408
warheen#0,0,0
arsei2rostn102b039ontoe294s910#6565,0,0
ambro._.#0,0,0
childreninmybasement#0,0,2
academic weapon#0154,0,2
CalebEEEE#4960,0,7
erinsu#0,0,2
joreme#0,0,1
20kleaguesunder#0,0,28
tucana#0,0,8
leo.y#0,0,0
fishyfredd#0,0,0
kaweees#0,0,0
irdrawzz#0,0,0
Anumeha#7164,0,1
caveiguana#0,0,11
trash#3586,0,0
lpann#0,0,13
emikami#0,0,37
applebeesfucksmeeveryday#0,0,0
thedevmc#0,0,0
pyxl8#0,0,15
blubba_wubba_lubba#0,0,1
kira.iamadood#0,0,0
Nikhil_Gang72#8038,0,0
